drugname,pt,A,drug_reports,reaction_reports,B,C,D,A_adj,B_adj,C_adj,D_adj,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
ALVESCO,PLEURAL THICKENING,7,105,32,98,25,385148,7,98.0,25.0,385148,1027.128,1100.422857142857,5606.639744482234,465.0964696114887,2603.6113874052453,🔴 Strong
DAXIBOTULINUMTOXIN A-LANM,INJECTION SITE SCAB,10,121,41,111,31,385126,10,111.0,31.0,385126,1026.811516928819,1119.2269689043883,7749.406913686015,535.7730773526982,2338.058892605153,🔴 Strong
MESTINON,DIABETIC NEUROPATHY,4,19,83,15,79,385180,4,15.0,79.0,385180,1026.6728847435045,1300.1856540084389,3902.008549458573,422.1986445924988,4003.9984887232094,🔴 Strong
CITRIC ACID,RESPIRATORY SYMPTOM,11,24,183,13,172,385082,11,13.0,172.0,385082,1026.59738372093,1894.4105545617172,10598.149189128926,837.0701702905152,4287.324380451044,🔴 Strong
MIRVETUXIMAB SORAVTANSINE,BLOOD CREATININE ABNORMAL,11,48,97,37,86,385144,11,37.0,86.0,385144,1026.5334302325582,1331.421747328724,9994.36723977388,657.5320467601885,2695.965737326864,🔴 Strong
HORSE CHESTNUT,VENTRICULAR FIBRILLATION,9,20,178,11,169,385089,9,11.0,169.0,385089,1025.8349112426035,1864.3362022592792,8752.663893747924,762.720645335673,4557.041291998692,🔴 Strong
PREDNICARBATE,RHEUMATOID FACTOR POSITIVE,6,7,328,1,322,384949,6,1.0,322.0,384949,1025.5661047027506,7172.962732919254,6034.196863242916,861.102809734785,59750.58237667962,🔴 Strong
PSEUDOEPHEDRINE HYDROCHLORIDE\TRIPROLIDINE HYDROCHLORIDE,RHEUMATOID FACTOR POSITIVE,6,7,328,1,322,384949,6,1.0,322.0,384949,1025.5661047027506,7172.962732919254,6034.196863242916,861.102809734785,59750.58237667962,🔴 Strong
PSEUDOEPHEDRINE\TRIPROLIDINE,RHEUMATOID FACTOR POSITIVE,6,7,328,1,322,384949,6,1.0,322.0,384949,1025.5661047027506,7172.962732919254,6034.196863242916,861.102809734785,59750.58237667962,🔴 Strong
VITAMIN D NOS,ANTINEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE,3,23,52,20,49,385206,3,20.0,49.0,385206,1025.5235137533275,1179.2020408163266,2893.8155683576483,339.4044250140414,4096.933777477598,🔴 Strong
HYDROCHLOROTHIAZIDE\IRBESARTAN,URGE INCONTINENCE,3,49,26,46,23,385206,3,46.0,23.0,385206,1025.454303460515,1092.266540642722,2716.2761593185587,316.9173619276597,3764.534036730835,🔴 Strong
ALLANTOIN,APPENDICITIS,14,20,277,6,263,384995,14,6.0,263.0,384995,1025.4015209125475,3415.6717363751586,-8835.688795355383,1302.6239646158697,8956.39396140891,🟢 Weak
ALLOPURINOL,PARANASAL CYST,8,429,15,421,7,384842,8,421.0,7.0,384842,1025.2387612387613,1044.7017305734646,3820.243749988146,377.13289624818657,2893.944592796685,🔴 Strong
BUDESONIDE\FORMOTEROL FUMARATE,PULMONARY VASCULITIS,13,132,50,119,37,385109,13,119.0,37.0,385109,1025.1633906633906,1137.0467862820803,-8993.783956007595,589.4596964040278,2193.3228040551967,🟢 Weak
MEBEVERINE HYDROCHLORIDE,IMPAIRED WORK ABILITY,11,13,329,2,318,384947,11,2.0,318.0,384947,1025.136671504596,6657.888364779874,10887.520539188055,1469.8074118250645,30158.697745869737,🔴 Strong
ACLIDINIUM BROMIDE,MALIGNANT MELANOMA STAGE 0,6,41,61,35,55,385182,6,35.0,55.0,385182,1025.020842572062,1200.567272727273,5535.256709644974,485.4493894921129,2969.128826903634,🔴 Strong
PIPAMPERONE,HEMIPLEGIA,8,31,105,23,97,385150,8,23.0,97.0,385150,1024.933821084137,1381.0847153742716,7562.036145215698,602.969295817373,3163.3368469530583,🔴 Strong
SOAP,PNEUMOTHORAX,12,13,359,1,347,384918,12,1.0,347.0,384918,1024.8681001995124,13311.28530259366,11875.206848702848,1726.1016139390076,102653.46777742296,🔴 Strong
LOTRIMIN ANTIFUNGAL (MICONAZOLE NITRATE),EXPOSURE TO CHEMICAL POLLUTION,4,8,192,4,188,385082,4,4.0,188.0,385082,1024.654255319149,2048.308510638298,4007.396707676327,508.5096953978032,8250.713393913013,🔴 Strong
LOMOTIL,MACULAR DEGENERATION,12,16,294,4,282,384980,12,4.0,282.0,384980,1024.6329787234042,4095.531914893617,11779.714446802722,1312.957766845058,12775.263675249367,🔴 Strong
PENICILLIN G,ANTINEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE,5,40,52,35,47,385191,5,35.0,47.0,385191,1024.5691489361702,1170.793313069909,4621.854172399628,439.54041562414426,3118.614200659456,🔴 Strong
IMIPENEM,PULMONARY MUCORMYCOSIS,4,47,36,43,32,385199,4,43.0,32.0,385199,1024.5505319148936,1119.764534883721,3636.078446561257,379.66944945464047,3302.5375504519134,🔴 Strong
NEXIUM 24HR,ADJUSTMENT DISORDER,9,94,45,85,36,385148,9,85.0,36.0,385148,1024.4255319148936,1132.7882352941176,7362.330769361475,529.3628008415758,2424.06376870594,🔴 Strong
NEXIUM 24HR,CAROTID ARTERY THROMBOSIS,9,94,45,85,36,385148,9,85.0,36.0,385148,1024.4255319148936,1132.7882352941176,7362.330769361475,529.3628008415758,2424.06376870594,🔴 Strong
PHYTONADIONE,TROPONIN INCREASED,24,37,268,13,244,384997,24,13.0,244.0,384997,1024.1231723526805,2912.9659520807063,-2734.9652063631447,1466.147236538398,5787.5296740425465,🟢 Weak
TRIPROLIDINE HYDROCHLORIDE,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,5,11,176,6,171,385096,5,6.0,171.0,385096,1024.1015417331207,1876.6861598440544,4967.596837030989,567.3592635498127,6207.620407066828,🔴 Strong
NINTEDANIB,LUNG DIFFUSION TEST DECREASED,5,235,13,230,8,385035,5,230.0,8.0,385035,1024.0505319148936,1046.2907608695652,3144.8799862199726,339.7401293136,3222.24035910259,🔴 Strong
BENSERAZIDE\LEVODOPA,BLOOD POTASSIUM INCREASED,4,5,305,1,301,384972,4,1.0,301.0,384972,1023.9813953488372,5115.906976744186,4037.513539464991,570.1223185487887,45906.82269959247,🔴 Strong
ALKERAN,OTOTOXICITY,4,35,47,31,43,385200,4,31.0,43.0,385200,1023.901661129568,1155.8889722430608,3740.185066672516,391.2174421561472,3415.183404884714,🔴 Strong
MS CONTIN,DEVELOPMENTAL DELAY,4,35,47,31,43,385200,4,31.0,43.0,385200,1023.901661129568,1155.8889722430608,3740.185066672516,391.2174421561472,3415.183404884714,🔴 Strong
VASOPRESSIN,BLOOD PHOSPHORUS INCREASED,13,67,86,54,73,385138,13,54.0,73.0,385138,1023.8689429564506,1270.115169964485,-10297.246606136525,664.704216156389,2426.9329210849564,🟢 Weak
CRANBERRY,BLADDER DISORDER,7,17,162,10,155,385106,7,10.0,155.0,385106,1023.4637571157496,1739.1883870967742,6844.169390188825,653.6189387476732,4627.736539592493,🔴 Strong
CARBOHYDRATES\FATTY ACIDS\MINERALS\PROTEIN\VITAMINS,MICTURITION URGENCY,4,6,255,2,251,385021,4,2.0,251.0,385021,1023.2988047808764,3067.8964143426297,4023.780751614755,559.3818052689626,16825.696367816035,🔴 Strong
MOXIFLOXACIN,SPIROMETRY ABNORMAL,23,412,44,389,21,384845,23,389.0,21.0,384845,1023.1065649560796,1083.5396009303463,-2516.4288311521577,594.7359739997062,1974.0828167641223,🟢 Weak
AMINOSALICYLATE CALCIUM,"SLEEP DISORDER DUE TO GENERAL MEDICAL CONDITION, INSOMNIA TYPE",9,10,348,1,339,384929,9,1.0,339.0,384929,1022.8353982300883,10219.353982300883,8958.01018431347,1291.131371893126,80886.57598214847,🔴 Strong
UNSPECIFIED INGREDIENT,PERITONEAL CLOUDY EFFLUENT,39,358,80,319,41,384879,39,319.0,41.0,384879,1022.7469682518054,1147.6627417998318,-1313.682800218002,730.3613869845142,1803.39458299352,🟢 Weak
LANREOTIDE ACETATE,METASTASES TO SPINAL CORD,4,251,10,247,6,385021,4,247.0,6.0,385021,1022.64807436919,1039.1929824561405,2449.621305951726,291.4561280741996,3705.2645347404,🔴 Strong
LORLATINIB,WAIST CIRCUMFERENCE INCREASED,4,251,10,247,6,385021,4,247.0,6.0,385021,1022.64807436919,1039.1929824561405,2449.621305951726,291.4561280741996,3705.2645347404,🔴 Strong
ZOCOR,TOTAL LUNG CAPACITY DECREASED,11,74,67,63,56,385148,11,63.0,56.0,385148,1022.5009652509654,1200.8582766439908,9384.157237678932,601.1356578909455,2398.893796524686,🔴 Strong
CARBOHYDRATES\FATTY ACIDS\MINERALS\PROTEIN\VITAMINS,ASPIRATION,5,6,319,1,314,384958,5,1.0,314.0,384958,1022.484076433121,6129.904458598726,5026.611856220172,714.0924936452423,52620.254387124274,🔴 Strong
TRICHOLINE CITRATE,RED BLOOD CELL SEDIMENTATION RATE INCREASED,5,6,319,1,314,384958,5,1.0,314.0,384958,1022.484076433121,6129.904458598726,5026.611856220172,714.0924936452423,52620.254387124274,🔴 Strong
BETAMETHASONE,ANTICOAGULANT THERAPY,15,226,40,211,25,385027,15,211.0,25.0,385027,1022.2619469026548,1094.8635071090048,-4190.378372831822,569.1691217851715,2106.0982637977336,🟢 Weak
PROPOXYPHENE HYDROCHLORIDE,PROCTITIS,3,13,90,10,87,385178,3,10.0,87.0,385178,1021.923076923077,1328.2,2958.470852430818,359.3677877973008,4908.940923205499,🔴 Strong
CYPROTERONE ACETATE,TEMPOROMANDIBULAR PAIN AND DYSFUNCTION SYNDROME,4,26,62,22,58,385194,4,22.0,58.0,385194,1021.8885941644562,1207.5047021943574,3816.9752200793446,403.5458062389736,3613.1402762194457,🔴 Strong
BIOTIN,HYPERLIPIDAEMIA,15,39,160,24,145,385094,15,24.0,145.0,385094,1021.8541114058356,1659.8879310344828,-6056.169547317419,853.3463717032673,3228.7334134843027,🟢 Weak
WIXELA INHUB,INCREASED VISCOSITY OF BRONCHIAL SECRETION,4,58,30,54,26,385194,4,54.0,26.0,385194,1021.8037135278514,1097.4188034188037,3535.5982352946653,370.4647354502,3250.8574092312,🔴 Strong
NASONEX,BRONCHIAL OBSTRUCTION,3,87,16,84,13,385178,3,84.0,13.0,385178,1021.7267904509284,1058.1813186813188,2485.6896642420625,296.1345794196376,3781.212263021112,🔴 Strong
.ALPHA.-TOCOPHEROL ACETATE,OBSTRUCTIVE AIRWAYS DISORDER,7,8,337,1,330,384940,7,1.0,330.0,384940,1021.5492424242424,8165.393939393939,6994.726580979612,1001.8000176261786,66553.86006428527,🔴 Strong
SODIUM FERRIC GLUCONATE COMPLEX,BLOOD URIC ACID INCREASED,7,19,146,12,139,385120,7,12.0,139.0,385120,1021.1332828474062,1616.21103117506,6794.476371246058,627.008662051284,4166.031915326711,🔴 Strong
ZENHALE,CARDIAC MURMUR,27,97,132,70,105,385076,27,70.0,105.0,385076,1021.0983799705448,1414.5648979591838,2472.088366254712,872.2637799409265,2294.023776470221,🔴 Strong
PEG/L-ASPARAGINASE,HYPERBILIRUBINAEMIA,10,17,232,7,222,385039,10,7.0,222.0,385039,1020.8293587705352,2477.7284427284426,9755.02648780259,934.748246980653,6567.6916279176185,🔴 Strong
PARAGARD T 380A,UTERINE SCAR,12,646,19,634,7,384625,12,634.0,7.0,384625,1020.6952675807164,1039.995493465525,4503.931836506525,408.11782027887466,2650.1921079788394,🔴 Strong
BIAXIN,VAGINAL DISCHARGE,12,30,163,18,151,385097,12,18.0,151.0,385097,1020.5245033112584,1700.2075055187638,11327.29639664587,804.9966785289083,3590.953402571747,🔴 Strong
BUDESONIDE,BURNS SECOND DEGREE,25,449,46,424,21,384808,25,424.0,21.0,384808,1020.3335454449042,1080.435759209344,-425.43787506317,600.15299192349,1945.073082176836,🟢 Weak
TOPICORT,SWOLLEN JOINT COUNT,8,151,28,143,20,385107,8,143.0,20.0,385107,1020.2039735099338,1077.2223776223775,5818.736896693722,466.84003270673736,2485.6652590874965,🔴 Strong
NEXIUM,ADENOCARCINOMA GASTRIC,6,151,21,145,15,385112,6,145.0,15.0,385112,1020.2039735099338,1062.3779310344828,4363.973379039037,406.5065649886388,2776.454221300589,🔴 Strong
GOLD,ANKLE ARTHROPLASTY,4,151,14,147,10,385117,4,147.0,10.0,385117,1020.2039735099338,1047.9374149659864,2909.262725626137,324.9946606859456,3379.0488230414344,🔴 Strong
DESOXIMETASONE,ANTI-CYCLIC CITRULLINATED PEPTIDE ANTIBODY,49,803,72,754,23,384452,49,754.0,23.0,384452,1020.0484595809194,1086.2730942221197,858.029096364292,658.5083352169247,1791.9123754784184,🔴 Strong
OTRIVIN,LUNG OPACITY,9,25,145,16,136,385117,9,16.0,136.0,385117,1019.7873529411766,1592.8552389705883,8594.772037428113,691.9377552917858,3666.786199932296,🔴 Strong
SIMVASTATIN,APPENDICOLITH,17,401,33,384,16,384861,17,384.0,16.0,384861,1019.7800810473816,1064.88232421875,-1011.91262450019,534.1231210655079,2123.0579986340845,🟢 Weak
LYRICA,GRIP STRENGTH,19,422,36,403,17,384839,19,403.0,17.0,384839,1019.2729300250904,1067.280834914611,938.2683521694617,550.7461789399455,2068.263792167384,🔴 Strong
GLYCERIN\MINERAL OIL\PETROLATUM,SCAR,4,4,340,0,336,384938,4,0.5,336.0,384938,1019.2433862433862,9165.190476190475,4528.729370724395,483.582748521065,173704.94857757213,🔴 Strong
METEOSPASMYL (ALVERINE CITRATE\DIMETHICONE),SCAR,4,4,340,0,336,384938,4,0.5,336.0,384938,1019.2433862433862,9165.190476190475,4528.729370724395,483.582748521065,173704.94857757213,🔴 Strong
HYALURONIDASE (HUMAN RECOMBINANT)\RITUXIMAB,EYE INJURY,3,14,84,11,81,385183,3,11.0,81.0,385183,1019.2169312169312,1296.912457912458,2943.307816503758,355.1966156754638,4735.354587458472,🔴 Strong
VITAMIN K1,TROPONIN INCREASED,16,24,268,8,252,385002,16,8.0,252.0,385002,1019.190476190476,3055.5714285714284,-4021.390287547339,1296.0509718598555,7203.819107287086,🟢 Weak
FILGOTINIB,PROCTITIS,6,27,90,21,84,385167,6,21.0,84.0,385167,1019.1825396825396,1310.091836734694,5697.558652610381,515.7804712884756,3327.657242220278,🔴 Strong
ARIMIDEX,WHITE BLOOD CELL DISORDER,3,27,45,24,42,385209,3,24.0,42.0,385209,1019.1825396825396,1146.455357142857,2848.4465534905985,332.50647326575665,3952.885106303032,🔴 Strong
OXYBUTYNIN,FEMALE GENITAL TRACT FISTULA,6,36,69,30,63,385179,6,30.0,63.0,385179,1019.15873015873,1222.7904761904765,5573.264368902249,491.87638927495135,3039.821754539081,🔴 Strong
DIANEAL PD-2 WITH DEXTROSE,PERITONEAL DIALYSIS COMPLICATION,3,42,30,39,27,385209,3,39.0,27.0,385209,1019.1428571428572,1097.4615384615386,2746.502222308335,319.6843505155477,3767.534527292382,🔴 Strong
SKENAN,BRADYPNOEA,7,49,61,42,54,385175,7,42.0,54.0,385175,1019.1243386243384,1188.8117283950617,6303.840215594661,511.45209278279646,2763.256511240522,🔴 Strong
MANNITOL,END STAGE RENAL DISEASE,23,54,184,31,161,385063,23,31.0,161.0,385063,1019.1111111111112,1774.483870967742,-4550.67722268169,1012.4992798183104,3109.9212326251795,🟢 Weak
ZINC,PULMONARY PAIN,24,84,132,60,108,385086,24,60.0,108.0,385086,1019.031746031746,1426.2444444444443,-2450.385112398689,856.8116691331289,2374.1194110564547,🟢 Weak
ZINC,GENITAL ULCERATION,8,84,44,76,36,385158,8,76.0,36.0,385158,1019.031746031746,1126.1929824561405,6657.701819334274,506.83320530798255,2502.4221389811155,🔴 Strong
IMURAN,VASCULAR ACCESS SITE EXTRAVASATION,3,189,9,186,6,385083,3,186.0,6.0,385083,1018.7539682539684,1035.1693548387098,2033.5574030948408,256.96917593027376,4170.054985458458,🔴 Strong
IMURAN,SYNOVIAL DISORDER,4,189,12,185,8,385081,4,185.0,8.0,385081,1018.7539682539682,1040.7594594594595,2711.430984074886,310.7014163043246,3486.241760138607,🔴 Strong
IMURAN,TENOSYNOVITIS STENOSANS,4,189,12,185,8,385081,4,185.0,8.0,385081,1018.7539682539682,1040.7594594594595,2711.430984074886,310.7014163043246,3486.241760138607,🔴 Strong
PREDNISOLONE,DOUGLAS' ABSCESS,3,2256,3,2253,0,383022,3,2253.0,0.5,383022,1018.6768617021276,1020.0319573901464,509.341731990275,51.077973783332745,20370.134463647988,🔴 Strong
PREDNISOLONE,NOCARDIA TEST POSITIVE,3,2256,3,2253,0,383022,3,2253.0,0.5,383022,1018.6768617021276,1020.0319573901464,509.341731990275,51.077973783332745,20370.134463647988,🔴 Strong
PREDNISOLONE,SUPERINFECTION VIRAL,3,2256,3,2253,0,383022,3,2253.0,0.5,383022,1018.6768617021276,1020.0319573901464,509.341731990275,51.077973783332745,20370.134463647988,🔴 Strong
PREDNISOLONE,MASTICATORY PAIN,6,2256,7,2250,1,383021,6,2250.0,1.0,383021,1018.6755319148936,1021.3893333333332,871.4528448058938,122.91235414505556,8487.642902160438,🔴 Strong
TAMIFLU,CHEST X-RAY ABNORMAL,5,61,36,56,31,385186,5,56.0,31.0,385186,1018.5536753040718,1109.4066820276498,4377.241556528257,416.27652500282505,2956.6480745443114,🔴 Strong
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",PRODUCT IMPURITY,6,324,13,318,7,384947,6,318.0,7.0,384947,1018.3968253968252,1037.5929919137466,3283.857565644063,346.7783195003378,3104.5747566334594,🔴 Strong
DDAVP,ADVERSE REACTION,3,5,230,2,227,385046,3,2.0,227.0,385046,1018.342731277533,2544.356828193833,3011.0586847392906,423.1303867985856,15299.661454610088,🔴 Strong
DIPROSONE,HYPERPHOSPHATAEMIA,10,44,96,34,86,385148,10,34.0,86.0,385148,1018.0602536997886,1317.1956224350206,9104.483809672636,630.9146388471337,2749.9826457226363,🔴 Strong
CEPHALEXIN,LOSS OF EMPLOYMENT,9,131,35,122,26,385121,9,122.0,26.0,385121,1017.7108044627128,1092.7140605296345,6791.375757224716,501.6474893960414,2380.205310140605,🔴 Strong
BUFEXAMAC,CORONARY ARTERY DISEASE,3,4,287,1,284,384990,3,1.0,284.0,384990,1017.4489436619718,4066.795774647888,3016.75363208273,421.74843279571337,39214.91246110928,🔴 Strong
NAFRONYL,CORONARY ARTERY DISEASE,3,4,287,1,284,384990,3,1.0,284.0,384990,1017.4489436619718,4066.795774647888,3016.75363208273,421.74843279571337,39214.91246110928,🔴 Strong
ASCORBIC ACID\PEG-3350\POTASSIUM CHLORIDE\SODIUM (ASCORBATE/CHLORIDE/SULFATE),LUNG OPACITY,3,8,145,5,142,385128,3,5.0,142.0,385128,1017.43838028169,1627.3014084507042,2984.414007661654,385.2429268484842,6873.870198237659,🔴 Strong
BISMUTH,LUNG OPACITY,3,8,145,5,142,385128,3,5.0,142.0,385128,1017.43838028169,1627.3014084507042,2984.414007661654,385.2429268484842,6873.870198237659,🔴 Strong
HEPARIN SODIUM AND DEXTROSE,LUNG OPACITY,3,8,145,5,142,385128,3,5.0,142.0,385128,1017.43838028169,1627.3014084507042,2984.414007661654,385.2429268484842,6873.870198237659,🔴 Strong
MIDAZOLAM,VAGINAL FLATULENCE,9,262,22,253,13,385003,9,253.0,13.0,385003,1017.3646506165592,1053.519914867741,5400.20741176347,446.3426700817023,2486.6639141173,🔴 Strong
FLUTICASONE,TOTAL LUNG CAPACITY ABNORMAL,13,214,36,201,23,385041,13,201.0,23.0,385041,1017.0321007720438,1082.7456197274498,-7710.038773269365,540.9034437716208,2167.370332983054,🟢 Weak
EMEND,ANTIPHOSPHOLIPID ANTIBODIES,4,101,19,97,15,385162,4,97.0,15.0,385162,1016.96897689769,1058.8646048109963,3205.326366203976,345.22091671123485,3247.758745335202,🔴 Strong
CALCIUM GLYCEROPHOSPHATE,ASPIRATION,9,11,319,2,310,384957,9,2.0,310.0,384957,1016.833724340176,5588.085483870967,8883.18210806698,1202.4875817332322,25968.4173453502,🔴 Strong
ACETYLCYSTEINE,CONGENITAL HIATUS HERNIA,7,78,41,71,34,385166,7,71.0,34.0,385166,1016.742081447964,1116.8856669428335,5891.08665286071,479.2333278118597,2602.9775489906315,🔴 Strong
IMATINIB,RIGHT VENTRICULAR ENLARGEMENT,6,284,14,278,8,384986,6,278.0,8.0,384986,1016.7095070422536,1038.6312949640287,3479.133819038147,358.0333129687847,3013.00166158758,🔴 Strong
PERJETA,NAIL BED INFLAMMATION,7,204,20,197,13,385061,7,197.0,13.0,385061,1016.4095022624434,1052.490042951972,4615.807321018283,415.5055255022492,2665.994126489775,🔴 Strong
BUTALBITAL AND ACETAMINOPHEN,RHEUMATOID FACTOR POSITIVE,3,3,328,0,325,384950,3,0.5,325.0,384950,1016.10989010989,7106.769230769231,3520.911562219574,355.27016201295726,142162.70967773048,🔴 Strong
IMDUR,PAIN OF SKIN,24,25,388,1,364,384889,24,1.0,364.0,384889,1016.051868131868,25377.296703296703,-2795.583220852371,3423.9664302080696,188088.05550351692,🟢 Weak
DESOGESTREL\ETHINYL ESTRADIOL,RETINITIS,12,26,187,14,175,385077,12,14.0,175.0,385077,1016.0492307692308,1886.0914285714289,11393.259562797466,860.1353724881697,4135.791865692089,🔴 Strong
HUMAN IMMUNOGLOBULIN G\HYALURONIDASE RECOMBINANT HUMAN,ADMINISTRATION SITE WARMTH,3,568,5,565,2,384708,3,565.0,2.0,384708,1015.9595070422534,1021.3486725663716,1216.7683803847228,170.3321570751378,6124.228852998839,🔴 Strong
OMNARIS,CARDIAC MURMUR,26,93,132,67,106,385079,26,67.0,106.0,385079,1015.9068776628118,1409.7513376513657,918.3518308622064,862.5578703406266,2304.075937797641,🔴 Strong
PHOSPHORUS,PERIPHERAL VENOUS DISEASE,29,39,311,10,282,384957,29,10.0,282.0,384957,1015.814784506274,3958.777659574468,-4084.722533482512,1911.2254707718128,8199.932869049231,🟢 Weak
VITAMIN D3,TOTAL LUNG CAPACITY ABNORMAL,18,379,36,361,18,384881,18,361.0,18.0,384881,1015.5646437994724,1066.152354570637,4.984827200769973,550.2522060764846,2065.745181216984,🔴 Strong
AZITHROMYCIN MONOHYDRATE,EOSINOPHILIA,5,5,350,0,345,384928,5,0.5,345.0,384928,1015.2121212121212,11157.333333333334,5499.042793180791,608.3718244510759,204621.71670003465,🔴 Strong
AMOXICILLIN SODIUM,NEUROLOGICAL SYMPTOM,4,11,142,7,138,385129,4,7.0,138.0,385129,1015.1963109354414,1594.737060041408,3940.0782833594985,461.594540761625,5509.567523206164,🔴 Strong
MOVIPREP,BENIGN PROSTATIC HYPERPLASIA,6,23,105,17,99,385156,6,17.0,99.0,385156,1015.1646903820816,1373.1051693404634,5733.185431743246,530.3223788847583,3555.2295757053357,🔴 Strong
DILTIAZEM,CONJUNCTIVITIS ALLERGIC,34,248,86,214,52,384978,34,214.0,52.0,384978,1015.1225186104216,1176.244787922358,-2494.3544903975067,748.0760164362202,1849.480227565178,🟢 Weak
ALOE VERA LEAF,VENTRICULAR FIBRILLATION,11,25,178,14,167,385086,11,14.0,167.0,385086,1015.0378443113772,1811.781864841745,10459.620756826693,810.7182867850702,4048.944718869613,🔴 Strong
OTRIVIN,VENTRICULAR FIBRILLATION,11,25,178,14,167,385086,11,14.0,167.0,385086,1015.0378443113772,1811.781864841745,10459.620756826693,810.7182867850702,4048.944718869613,🔴 Strong
ANORO ELLIPTA,TOTAL LUNG CAPACITY ABNORMAL,10,146,36,136,26,385106,10,136.0,26.0,385106,1014.573234984194,1089.1006787330316,7313.719424612553,515.2550013456867,2302.0451724270874,🔴 Strong
PIOGLITAZONE,CAPILLARITIS,4,49,35,45,31,385198,4,45.0,31.0,385198,1014.427913100724,1104.510394265233,3587.216831338629,374.5143305432263,3257.4006160737163,🔴 Strong
HYDROCORTISONE SODIUM PHOSPHATE,DISLOCATION OF VERTEBRA,5,9,216,4,211,385058,5,4.0,211.0,385058,1014.399684044234,2281.149289099526,4947.601139897723,608.3299238220106,8553.98012720773,🔴 Strong
AMIKACIN,TISSUE INFILTRATION,8,217,22,209,14,385047,8,209.0,14.0,385047,1013.98551678736,1052.76008202324,5152.225488422627,437.0168132092461,2536.06670682237,🔴 Strong
CARBOHYDRATES,CARDIOVASCULAR DISORDER,3,5,231,2,228,385045,3,2.0,228.0,385045,1013.8763157894738,2533.190789473684,2998.0056207516577,421.2821729604272,15232.20299302124,🔴 Strong
CORTISONE ACETATE\DIPHENHYDRMINE HYDROCHLORIDE\SULFISOMIDINE,SWOLLEN JOINT COUNT INCREASED,6,8,291,2,285,384985,6,2.0,285.0,384985,1013.8684210526316,4052.4736842105262,5950.531152611623,814.4723458328049,20163.41382889636,🔴 Strong
CORTENEMA,PARAESTHESIA ORAL,7,10,273,3,266,385002,7,3.0,266.0,385002,1013.8631578947368,3377.2105263157896,6906.32604767528,868.6538867779469,13130.144367815135,🔴 Strong
AMINOSALICYLATE CALCIUM,BONE EROSION,5,10,195,5,190,385078,5,5.0,190.0,385078,1013.8631578947368,2026.7263157894736,4932.0908182414505,581.9773803643541,7058.03987870103,🔴 Strong
TIBOLONE,BONE EROSION,5,10,195,5,190,385078,5,5.0,190.0,385078,1013.8631578947368,2026.7263157894736,4932.0908182414505,581.9773803643541,7058.03987870103,🔴 Strong
ASENAPINE MALEATE,THERAPEUTIC PRODUCT EFFECT VARIABLE,3,10,117,7,114,385154,3,7.0,114.0,385154,1013.8631578947368,1447.9473684210527,2958.6552042821663,369.8026270177905,5669.3799030708105,🔴 Strong
BETADINE,ENDOPHTHALMITIS,4,16,99,12,95,385167,4,12.0,95.0,385167,1013.8473684210528,1351.463157894737,3884.860615165568,428.205680418278,4265.363003505011,🔴 Strong
SAFFLOWER,CARDIOVASCULAR DISORDER,11,19,231,8,220,385039,11,8.0,220.0,385039,1013.8394736842104,2406.49375,10606.59275452534,958.7687983968648,6040.25931848472,🔴 Strong
MESTINON,INFUSION SITE IRRITATION,4,19,84,15,80,385179,4,15.0,80.0,385179,1013.8394736842104,1283.93,3855.470910621868,417.03276219502845,3952.8698805900494,🔴 Strong
PIASKY,BREAKTHROUGH HAEMOLYSIS,3,30,41,27,38,385210,3,27.0,38.0,385210,1013.8105263157896,1126.345029239766,2813.628988893781,327.7535086411766,3870.7537568485513,🔴 Strong
CLIOQUINOL,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,16,38,176,22,160,385080,16,22.0,160.0,385080,1013.7894736842104,1750.3636363636365,-3867.902315510237,902.533412452801,3394.6364945955456,🟢 Weak
DOBUTAMINE HYDROCHLORIDE,BENIGN PROSTATIC HYPERPLASIA,10,40,105,30,95,385143,10,30.0,95.0,385143,1013.7842105263156,1351.378947368421,9156.74251131145,642.5656089060774,2842.0834138627515,🔴 Strong
PREVNAR 13,BENIGN PROSTATIC HYPERPLASIA,10,40,105,30,95,385143,10,30.0,95.0,385143,1013.7842105263156,1351.378947368421,9156.74251131145,642.5656089060774,2842.0834138627515,🔴 Strong
AFINITOR DISPERZ,HAEMATEMESIS,4,4,342,0,338,384936,4,0.5,338.0,384936,1013.2123602892832,9110.91124260355,4502.222181179054,480.7243418170657,172674.22605820053,🔴 Strong
DICLOFENAC POTASSIUM\METAXALONE,HAEMATEMESIS,4,4,342,0,338,384936,4,0.5,338.0,384936,1013.2123602892832,9110.91124260355,4502.222181179054,480.7243418170657,172674.22605820053,🔴 Strong
PIROXICAM,"HALLUCINATIONS, MIXED",9,58,68,49,59,385161,9,49.0,59.0,385161,1013.144360023378,1199.048426150121,7897.249410097002,563.438146982022,2551.685816720102,🔴 Strong
