drugname,pt,A,drug_reports,reaction_reports,B,C,D,A_adj,B_adj,C_adj,D_adj,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
CHLORMADINONE,AVOIDANT PERSONALITY DISORDER,3,10,3,7,0,385268,3,7.0,0.5,385268,231161.1,330229.71428571426,115581.29998364804,15112.880496510874,7215809.3371016495,🔴 Strong
LOCOID,AVOIDANT PERSONALITY DISORDER,3,10,3,7,0,385268,3,7.0,0.5,385268,231161.1,330229.71428571426,115581.29998364804,15112.880496510874,7215809.3371016495,🔴 Strong
MICARDIS,URETHRAL CARUNCLE,4,14,4,10,0,385264,4,10.0,0.5,385264,220151.14285714284,308211.2,110076.57139890794,15274.129248846928,6219283.7482117815,🔴 Strong
PIPAMPERONE,PAROXYSMAL PERCEPTUAL ALTERATION,17,31,18,14,1,385246,17,14.0,1.0,385246,211264.48387096773,467798.7142857143,-23201.984172869896,58223.83070573441,3758523.519233417,🟢 Weak
BRINZOLAMIDE\TIMOLOL MALEATE,NIKOLSKY'S SIGN TEST,3,11,3,8,0,385267,3,8.0,0.5,385267,210145.9090909091,288950.25,105073.63634664733,13371.887797307674,6243863.861307085,🔴 Strong
INTRAGAM P,BINOCULAR EYE MOVEMENT DISORDER,7,13,8,6,1,385264,7,6.0,1.0,385264,207450.3846153846,449474.6666666667,181521.10568819384,47711.02485814173,4234398.162181492,🔴 Strong
TINZAPARIN,CHONDRODYSPLASIA PUNCTATA,7,26,7,19,0,385252,7,19.0,0.5,385252,207443.65384615384,283869.8947368421,103723.57683013535,15554.44881317945,5180647.550148329,🔴 Strong
CYCLOPHOSPHAMIDE\DOXORUBICIN\PREDNISONE\VINCRISTINE,EXTRANODAL MARGINAL ZONE B-CELL LYMPHOMA (MALT TYPE) RECURRENT,4,15,4,11,0,385263,4,11.0,0.5,385263,205473.86666666664,280191.2727272727,102737.86663621216,13966.547434975546,5621084.9301187,🔴 Strong
CLEMASTINE,ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED,3,6,4,3,1,385271,3,3.0,1.0,385271,192636.0,385271.0,144476.9999805334,30679.53723983325,4838200.2075402485,🔴 Strong
CANRENOATE POTASSIUM,POLYGLANDULAR DISORDER,4,8,5,4,1,385269,4,4.0,1.0,385269,192635.0,385269.0,154108.39996781512,34933.27337238363,4249020.719551079,🔴 Strong
